State,Year,Crop,Area,Production
Andaman and Nicobar Islands,2000,Rice,102,321
Andaman and Nicobar Islands,2001,Rice,83,300
Andaman and Nicobar Islands,2002,Rice,189.2,510.84
Andaman and Nicobar Islands,2003,Rice,52,90.17
Andaman and Nicobar Islands,2004,Rice,52.94,72.57
Andaman and Nicobar Islands,2005,Rice,2.09,12.06
Andaman and Nicobar Islands,2010,Rice,3.5,10
Andaman and Nicobar Islands,2000,Rice,10779,31863
Andaman and Nicobar Islands,2001,Rice,9718,27033
Andaman and Nicobar Islands,2006,Rice,6854.3,18995.62
Andaman and Nicobar Islands,2010,Rice,6791,20118
Andaman and Nicobar Islands,2002,Rice,10695.8,31600.82
Andaman and Nicobar Islands,2003,Rice,10509.37,30760.7
Andaman and Nicobar Islands,2004,Rice,10681.98,29119.66
Andaman and Nicobar Islands,2005,Rice,8683.38,25870.98
Andaman and Nicobar Islands,2006,Rice,921.87,2539.64
Andaman and Nicobar Islands,2010,Rice,1595.5,3788
Andhra Pradesh,1997,Bajra,1400,500
Andhra Pradesh,1997,Jowar,10100,10200
Andhra Pradesh,1997,Rice,35600,75400
Andhra Pradesh,1997,Jowar,18800,9400
Andhra Pradesh,1997,Rice,18000,37300
Andhra Pradesh,1997,Wheat,300,200
Andhra Pradesh,1998,Bajra,2600,1900
Andhra Pradesh,1998,Jowar,3700,5800
Andhra Pradesh,1998,Rice,38300,96800
Andhra Pradesh,1998,Jowar,14800,22100
Andhra Pradesh,1998,Rice,26600,63900
Andhra Pradesh,1998,Wheat,400,200
Andhra Pradesh,1999,Bajra,1635,889
Andhra Pradesh,1999,Jowar,11131,14582
Andhra Pradesh,1999,Rice,37991,105082
Andhra Pradesh,1999,Bajra,99,54
Andhra Pradesh,1999,Jowar,21487,30576
Andhra Pradesh,1999,Rice,20258,45669
Andhra Pradesh,1999,Wheat,439,294
Andhra Pradesh,1999,Onion,1770,32364
Andhra Pradesh,2000,Bajra,2477,1449
Andhra Pradesh,2000,Jowar,5071,14351
Andhra Pradesh,2000,Onion,1103,15470
Andhra Pradesh,2000,Rice,39905,117680
Andhra Pradesh,2000,Bajra,317,185
Andhra Pradesh,2000,Jowar,15242,16980
Andhra Pradesh,2000,Onion,482,11514
Andhra Pradesh,2000,Rice,22099,57236
Andhra Pradesh,2000,Wheat,520,297
Andhra Pradesh,2000,Potato,4,34
Andhra Pradesh,2001,Bajra,1595,526
Andhra Pradesh,2001,Jowar,3900,6720
Andhra Pradesh,2001,Onion,1165,19232
Andhra Pradesh,2001,Rice,32878,95609
Andhra Pradesh,2001,Bajra,27,9
Andhra Pradesh,2001,Jowar,15170,17446
Andhra Pradesh,2001,Onion,380,8465
Andhra Pradesh,2001,Rice,38119,108906
Andhra Pradesh,2001,Wheat,307,213
Andhra Pradesh,2002,Bajra,1925,581
Andhra Pradesh,2002,Jowar,2906,4545
Andhra Pradesh,2002,Onion,776,8432
Andhra Pradesh,2002,Rice,29066,66329
Andhra Pradesh,2002,Bajra,129,39
Andhra Pradesh,2002,Jowar,12676,11497
Andhra Pradesh,2002,Onion,401,7192
Andhra Pradesh,2002,Rice,10960,20462
Andhra Pradesh,2002,Wheat,362,333
Andhra Pradesh,2002,Potato,2,17
Andhra Pradesh,2002,Tomato,3356,16627
Andhra Pradesh,2003,Bajra,2280,378
Andhra Pradesh,2003,Jowar,12487,30830
Andhra Pradesh,2003,Onion,846,13250
Andhra Pradesh,2003,Rice,17515,44891
Andhra Pradesh,2003,Bajra,113,19
Andhra Pradesh,2003,Jowar,21391,19444
Andhra Pradesh,2003,Onion,535,11180
Andhra Pradesh,2003,Rice,10826,25463
Andhra Pradesh,2003,Wheat,414,123
Andhra Pradesh,2003,Tomato,2827,17509
Andhra Pradesh,2004,Bajra,1021,403
Andhra Pradesh,2004,Jowar,4300,5693
Andhra Pradesh,2004,Onion,1324,24824
Andhra Pradesh,2004,Rice,24335,85051
Andhra Pradesh,2004,Bajra,62,24
Andhra Pradesh,2004,Jowar,11871,14269
Andhra Pradesh,2004,Onion,234,4830
Andhra Pradesh,2004,Rice,9240,21622
Andhra Pradesh,2004,Wheat,393,88
Andhra Pradesh,2004,Potato,2,20
Andhra Pradesh,2005,Bajra,993,1888
Andhra Pradesh,2005,Jowar,3759,3879
Andhra Pradesh,2005,Onion,985,17025
Andhra Pradesh,2005,Rice,25008,69972
Andhra Pradesh,2005,Bajra,66,125
Andhra Pradesh,2005,Jowar,12931,9970
Andhra Pradesh,2005,Onion,381,9063
Andhra Pradesh,2005,Rice,23142,55587
Andhra Pradesh,2005,Wheat,297,175
Andhra Pradesh,2006,Bajra,620,189
Andhra Pradesh,2006,Jowar,18043,7813
Andhra Pradesh,2006,Onion,869,9423
Andhra Pradesh,2006,Rice,22349,67427
Andhra Pradesh,2006,Bajra,141,43
Andhra Pradesh,2006,Jowar,24944,15440
Andhra Pradesh,2006,Onion,167,4075
Andhra Pradesh,2006,Rice,10846,31974
Andhra Pradesh,2006,Wheat,190,50
Andhra Pradesh,2007,Bajra,1000,3000
Andhra Pradesh,2007,Jowar,4000,3000
Andhra Pradesh,2007,Onion,2000,38000
Andhra Pradesh,2007,Rice,30000,95000
Andhra Pradesh,2007,Jowar,12000,8000
Andhra Pradesh,2007,Rice,14000,37000
Andhra Pradesh,2008,Bajra,743,1011
Andhra Pradesh,2008,Jowar,1782,2204
Andhra Pradesh,2008,Onion,1376,23531
Andhra Pradesh,2008,Rice,30306,94615
Andhra Pradesh,2008,Bajra,26,35
Andhra Pradesh,2008,Jowar,12501,6951
Andhra Pradesh,2008,Onion,173,4129
Andhra Pradesh,2008,Rice,18416,49815
Andhra Pradesh,2008,Wheat,164,217
Andhra Pradesh,2009,Bajra,1722,3167
Andhra Pradesh,2009,Jowar,41409,25881
Andhra Pradesh,2009,Onion,1663,29811
Andhra Pradesh,2009,Rice,32226,101512
Andhra Pradesh,2009,Bajra,45,83
Andhra Pradesh,2009,Jowar,17721,14283
Andhra Pradesh,2009,Onion,230,5665
Andhra Pradesh,2009,Rice,19428,46899
Andhra Pradesh,2009,Wheat,179,97
Andhra Pradesh,2010,Bajra,2010,1465
Andhra Pradesh,2010,Jowar,2606,2069
Andhra Pradesh,2010,Onion,1620,26924
Andhra Pradesh,2010,Rice,34973,102007
Andhra Pradesh,2010,Bajra,5,4
Andhra Pradesh,2010,Jowar,13274,8296
Andhra Pradesh,2010,Onion,306,8233
Andhra Pradesh,2010,Rice,24828,69394
Andhra Pradesh,2010,Wheat,131,171
Andhra Pradesh,2010,Potato,21,236
Andhra Pradesh,2011,Bajra,2614,3307
Andhra Pradesh,2011,Jowar,7190,7535
Andhra Pradesh,2011,Onion,2757,39563
Andhra Pradesh,2011,Rice,37720,94531
Andhra Pradesh,2011,Bajra,116,147
Andhra Pradesh,2011,Jowar,7907,3882
Andhra Pradesh,2011,Onion,208,4259
Andhra Pradesh,2011,Rice,10948,25542
Andhra Pradesh,2011,Wheat,75,100
Andhra Pradesh,2011,Potato,18,181
Andhra Pradesh,2012,Bajra,2176,1456
Andhra Pradesh,2012,Jowar,7599,6930
Andhra Pradesh,2012,Onion,1548,25393
Andhra Pradesh,2012,Rice,22056,58691
Andhra Pradesh,2012,Tomato,2552,38561
Andhra Pradesh,2012,Bajra,20,13
Andhra Pradesh,2012,Jowar,5795,3141
Andhra Pradesh,2012,Onion,84,1195
Andhra Pradesh,2012,Potato,36,634
Andhra Pradesh,2012,Rice,6998,17768
Andhra Pradesh,2012,Tomato,1395,31096
Andhra Pradesh,2012,Wheat,134,151
Andhra Pradesh,2013,Bajra,1332,1227
Andhra Pradesh,2013,Jowar,14486,9749
Andhra Pradesh,2013,Onion,1414,31097
Andhra Pradesh,2013,Rice,28114,59377
Andhra Pradesh,2013,Tomato,2991,88620
Andhra Pradesh,2013,Bajra,17,16
Andhra Pradesh,2013,Jowar,6605,3137
Andhra Pradesh,2013,Onion,611,14317
Andhra Pradesh,2013,Rice,12283,28558
Andhra Pradesh,2013,Tomato,3482,80532
Andhra Pradesh,2013,Wheat,62,39
Andhra Pradesh,2013,Potato,82,1179
Andhra Pradesh,2013,Wheat,62,39
Andhra Pradesh,2014,Bajra,1752,1028
Andhra Pradesh,2014,Jowar,13189,4234
Andhra Pradesh,2014,Onion,1969,35214
Andhra Pradesh,2014,Potato,15,281
Andhra Pradesh,2014,Rice,22658,68155
Andhra Pradesh,2014,Tomato,3976,113236
Andhra Pradesh,2014,Bajra,47,28
Andhra Pradesh,2014,Jowar,5263,1368
Andhra Pradesh,2014,Onion,297,6767
Andhra Pradesh,2014,Potato,77,1442
Andhra Pradesh,2014,Rice,6553,14377
Andhra Pradesh,2014,Tomato,4191,87055
Andhra Pradesh,2014,Rice,29211,82532
Andhra Pradesh,1997,Bajra,1700,1900
Andhra Pradesh,1997,Jowar,2400,1500
Andhra Pradesh,1997,Rice,42300,84400
Andhra Pradesh,1997,Rice,57400,137400
Andhra Pradesh,1998,Bajra,1700,3400
Andhra Pradesh,1998,Jowar,2500,1400
Andhra Pradesh,1998,Rice,42000,105400
Andhra Pradesh,1998,Rice,62400,159200
Andhra Pradesh,1999,Bajra,2531,2817
Andhra Pradesh,1999,Jowar,1360,797
Andhra Pradesh,1999,Rice,37542,75477
Andhra Pradesh,1999,Bajra,68,76
Andhra Pradesh,1999,Jowar,39,40
Andhra Pradesh,1999,Rice,37489,76800
Andhra Pradesh,1999,Onion,548,8149
Andhra Pradesh,2000,Bajra,3771,4936
Andhra Pradesh,2000,Jowar,3556,2703
Andhra Pradesh,2000,Onion,286,3991
Andhra Pradesh,2000,Rice,33776,89236
Andhra Pradesh,2000,Bajra,393,514
Andhra Pradesh,2000,Jowar,54,65
Andhra Pradesh,2000,Onion,230,5494
Andhra Pradesh,2000,Rice,41442,97181
Andhra Pradesh,2000,Wheat,5,3
Andhra Pradesh,2000,Potato,957,8177
Andhra Pradesh,2001,Bajra,2934,3556
Andhra Pradesh,2001,Jowar,2400,2174
Andhra Pradesh,2001,Onion,248,3441
Andhra Pradesh,2001,Rice,24377,55311
Andhra Pradesh,2001,Bajra,258,313
Andhra Pradesh,2001,Jowar,46,67
Andhra Pradesh,2001,Onion,304,6772
Andhra Pradesh,2001,Rice,62049,170573
Andhra Pradesh,2001,Wheat,4,
Andhra Pradesh,2001,Potato,1024,9447
Andhra Pradesh,2002,Bajra,2366,1171
Andhra Pradesh,2002,Jowar,1647,865
Andhra Pradesh,2002,Onion,205,2451
Andhra Pradesh,2002,Rice,20137,50020
Andhra Pradesh,2002,Bajra,42,21
Andhra Pradesh,2002,Jowar,130,155
Andhra Pradesh,2002,Onion,266,4753
Andhra Pradesh,2002,Rice,30034,76827
Andhra Pradesh,2002,Wheat,5,7
Andhra Pradesh,2002,Potato,1126,9776
Andhra Pradesh,2002,Tomato,16838,139087
Andhra Pradesh,2003,Bajra,2166,3611
Andhra Pradesh,2003,Jowar,2410,2832
Andhra Pradesh,2003,Onion,253,3691
Andhra Pradesh,2003,Rice,18495,38562
Andhra Pradesh,2003,Bajra,36,60
Andhra Pradesh,2003,Jowar,6,7
Andhra Pradesh,2003,Onion,265,5538
Andhra Pradesh,2003,Rice,27286,46714
Andhra Pradesh,2003,Wheat,7,2
Andhra Pradesh,2003,Potato,1291,12045
Andhra Pradesh,2003,Tomato,19636,180151
Andhra Pradesh,2004,Bajra,2684,3521
Andhra Pradesh,2004,Jowar,2659,2444
Andhra Pradesh,2004,Onion,250,4242
Andhra Pradesh,2004,Rice,19055,43331
Andhra Pradesh,2004,Bajra,57,75
Andhra Pradesh,2004,Jowar,25,39
Andhra Pradesh,2004,Onion,351,7244
Andhra Pradesh,2004,Rice,25822,69177
Andhra Pradesh,2004,Wheat,2,
Andhra Pradesh,2004,Potato,1892,18727
Andhra Pradesh,2005,Bajra,1860,2217
Andhra Pradesh,2005,Jowar,1825,1221
Andhra Pradesh,2005,Onion,254,4762
Andhra Pradesh,2005,Rice,16240,37173
Andhra Pradesh,2005,Bajra,58,69
Andhra Pradesh,2005,Jowar,33,57
Andhra Pradesh,2005,Onion,253,6018
Andhra Pradesh,2005,Rice,66351,193612
Andhra Pradesh,2005,Potato,1312,12841
Andhra Pradesh,2006,Bajra,1456,942
Andhra Pradesh,2006,Jowar,966,751
Andhra Pradesh,2006,Onion,206,3454
Andhra Pradesh,2006,Rice,17049,42520
Andhra Pradesh,2006,Bajra,30,19
Andhra Pradesh,2006,Jowar,29,35
Andhra Pradesh,2006,Onion,189,4612
Andhra Pradesh,2006,Rice,29164,85101
Andhra Pradesh,2006,Wheat,4,1
Andhra Pradesh,2006,Potato,1429,12086
Andhra Pradesh,2007,Bajra,2000,3000
Andhra Pradesh,2007,Jowar,1000,1000
Andhra Pradesh,2007,Rice,15000,42000
Andhra Pradesh,2007,Rice,37000,116000
Andhra Pradesh,2008,Bajra,1714,3286
Andhra Pradesh,2008,Jowar,1205,812
Andhra Pradesh,2008,Onion,289,4856
Andhra Pradesh,2008,Rice,17596,46242
Andhra Pradesh,2008,Bajra,9,17
Andhra Pradesh,2008,Onion,171,4081
Andhra Pradesh,2008,Rice,37927,118636
Andhra Pradesh,2008,Potato,1374,12392
Andhra Pradesh,2009,Bajra,2859,3336
Andhra Pradesh,2009,Jowar,1302,1413
Andhra Pradesh,2009,Onion,197,3190
Andhra Pradesh,2009,Rice,19758,56192
Andhra Pradesh,2009,Bajra,17,20
Andhra Pradesh,2009,Onion,163,4015
Andhra Pradesh,2009,Rice,35155,113937
Andhra Pradesh,2009,Potato,1402,12099
Andhra Pradesh,2010,Bajra,3081,5882
Andhra Pradesh,2010,Jowar,1357,852
Andhra Pradesh,2010,Onion,178,3535
Andhra Pradesh,2010,Rice,18019,53639
Andhra Pradesh,2010,Bajra,15,29
Andhra Pradesh,2010,Onion,196,5274
Andhra Pradesh,2010,Rice,43558,131502
Andhra Pradesh,2010,Potato,1138,10817
Andhra Pradesh,2011,Bajra,2353,4958
Andhra Pradesh,2011,Jowar,65,80
Andhra Pradesh,2011,Onion,180,2594
Andhra Pradesh,2011,Rice,17342,55719
Andhra Pradesh,2011,Bajra,2,4
Andhra Pradesh,2011,Onion,196,4013
Andhra Pradesh,2011,Rice,33764,113211
Andhra Pradesh,2011,Potato,1151,15206
Andhra Pradesh,2012,Bajra,1681,4211
Andhra Pradesh,2012,Jowar,41,
Andhra Pradesh,2012,Onion,153,2921
Andhra Pradesh,2012,Potato,240,3618
Andhra Pradesh,2012,Rice,12952,45241
Andhra Pradesh,2012,Tomato,8521,143886
Andhra Pradesh,2012,Bajra,5,13
